Reference;Name;Category;Short description;Size;Color;Structure;Price/UAH;Price/RUB;Price/USD;URL;Images;
BZ-1456B;Блуза "Michelle" BZ-1456B;Блузки;Длина по спинке: 65 смДлина по полочке: 58 смДлина рукава: 62 см;42,44,46,48;электрик;креп-шифон;209;593;10.09;https://niko-opt.com/bluzki/1404-bluza-michelle-bz-1456b.html;http://niko-opt.com/5235-large_default/bluza-michelle-bz-1456b.jpg,;
BZ-1456C;Блуза "Michelle" BZ-1456C;Блузки;Длина по спинке: 65 смДлина по полочке: 58 смДлина рукава: 62 см;42,44,46,48;изумрудный;креп-шифон;209;593;10.09;https://niko-opt.com/bluzki/1405-bluza-michelle-bz-1456c.html;http://niko-opt.com/5237-large_default/bluza-michelle-bz-1456c.jpg,;
BZ-1456D;Блуза "Michelle" BZ-1456D;Блузки;Длина по спинке: 65 смДлина по полочке: 58 смДлина рукава: 62 см;42,44,46,48;красный;креп-шифон;209;593;10.09;https://niko-opt.com/bluzki/1406-bluza-michelle-bz-1456d.html;http://niko-opt.com/5239-large_default/bluza-michelle-bz-1456d.jpg,;
BZ-1456E;Блуза "Michelle" BZ-1456E;Блузки;Длина по спинке: 65 смДлина по полочке: 58 смДлина рукава: 62 см;42,44,46,48;молоко;креп-шифон;209;593;10.09;https://niko-opt.com/bluzki/1407-bluza-michelle-bz-1456e.html;http://niko-opt.com/5241-large_default/bluza-michelle-bz-1456e.jpg,;
BZ-1456F;Блуза "Michelle" BZ-1456F;Блузки;Длина по спинке - 65 смДлина по полочке - 58 смДлина рукава - 62 см;42,44,46,48;ментол;креп-шифон;209;593;10.09;https://niko-opt.com/bluzki/1565-bluza-michelle-bz-1456f.html;http://niko-opt.com/5592-large_default/bluza-michelle-bz-1456f.jpg,;
BZ-1456G;Блуза "Michelle" BZ-1456G;Блузки;Длина по спинке - 65 смДлина по полочке - 58 смДлина рукава - 62 см;42,44,46,48;белый;креп-шифон;209;593;10.09;https://niko-opt.com/bluzki/1566-bluza-michelle-bz-1456g.html;http://niko-opt.com/5595-large_default/bluza-michelle-bz-1456g.jpg,;
BZ-1512A;Блуза "Nadine" BZ-1512A;Блузки;Длина изделия: 59 смДлина рукава: 16 см;42;бежевый;лен габардин;207;588;10;https://niko-opt.com/bluzki/1598-bluza-nadine-bz-1512a.html;http://niko-opt.com/5668-large_default/bluza-nadine-bz-1512a.jpg,http://niko-opt.com/5669-large_default/bluza-nadine-bz-1512a.jpg;
BZ-1512B;Блуза "Nadine" BZ-1512B;Блузки;Длина изделия: 59 смДлина рукава: 16 см;46,48;джинс;лен габардин;207;588;10;https://niko-opt.com/bluzki/1599-bluza-nadine-bz-1512b.html;http://niko-opt.com/5671-large_default/bluza-nadine-bz-1512b.jpg,http://niko-opt.com/5672-large_default/bluza-nadine-bz-1512b.jpg;
BZ-1613A;Блуза "Shelly" BZ-1613A;Блузки;Длина по спинке - 62 см;42,44,46,48,50,52;белый;креп-шифон;172;500;8.48;https://niko-opt.com/bluzki/1965-bluza-shelly-bz-1613a.html;http://niko-opt.com/6942-large_default/bluza-shelly-bz-1613a.jpg,;
BZ-1613B;Блуза "Shelly" BZ-1613B;Блузки;Длина по спинке - 62 см;42,44,46,48,50,52;темно-зеленый;креп-шифон;172;500;8.48;https://niko-opt.com/bluzki/1966-bluza-shelly-bz-1613b.html;http://niko-opt.com/6944-large_default/bluza-shelly-bz-1613b.jpg,;
